Disciplina;administrativas;burocracia;calendario;comunicacion-profesorado;feedback;generar-material;mejorar-calidad;preguntas-temario;preparar-examen;profesor-particular;resumen;traduccion
Otro;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
TIC;"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho"
TIC;"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
Otro;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
TIC;"No me parece útil";"Lo he hecho";"No me parece útil";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"No me parece útil"
TIC;"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil"
TIC;"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil"
TIC;"Lo he hecho";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
Otro;"No me parece útil";"Lo he hecho";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil"
